Parameter,Parameter Code,Method Code,Recording Mode,Collection Description,Analysis Description,Units,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator
PM2.5 - Local Conditions,88101,143,Intermittent,R & P Model 2000 PM-2.5 Air Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-143,R & P Model 2000 Air Sampler with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,144,Intermittent,R & P Model 2000 PM-2.5 Audit Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-144,R & P Model 2000 Audit Sampler with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-145,R & P Model 2025 Sequential Air Sampler with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,153,Intermittent,Thermo Electron Model RAAS2.5-100 w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-153,Thermo Electron RAAS2.5-100 with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,154,Intermittent,Thermo Electron Model RAAS2.5-200 Audit w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-10060154,Thermo Electron RAAS2.5-200 Audit with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,155,Intermittent,Thermo Electron Model RAAS2.5-300 Sequential w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-155,Thermo Electron RAAS2.5-300 Sequential with BGI VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,170,Continuous,Met One BAM-1020 Mass Monitor w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0308-170,Met One BAM-1020 PM2.5 VSCC FEM,5.0,-10.0,975.0,1,T
PM2.5 - Local Conditions,88101,177,Intermittent,Thermo Scientific Partisol 2000-D Dichot.,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0509-177,Thermo Scientific Partisol 2000-D Dichot.,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,179,Intermittent,Thermo Scientific Dichot. Partisol-Plus Model 2025-D Seq,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0509-179,Thermo Scientific Dichot.  Partisol-Plus Model 2025-D Seq,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,181,Continuous,Thermo Scientific TEOM 1400 FDMS or 1405 8500C FDMS w/VSCC,FDMS Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-0609-181,Thermo Scientific 1400a with Series 8500C FDMS VSCC FEM,2.0,-10.0,5000.0,1,T
PM2.5 - Local Conditions,88101,182,Continuous,Thermo Scientific TEOM 1405-DF Dichotomous FDMS,FDMS Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-0609-182,Thermo Scientific 1405-DF FDMS Dichotomous FEM,2.0,-10.0,5000.0,1,T
PM2.5 - Local Conditions,88101,183,Continuous,Thermo Scientific 5014i or FH62C14-DHS w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0609-183,Thermo Scientific 5014i or FH62C14-DHS VSCC FEM,2.0,-10.0,5000.0,1,T
PM2.5 - Local Conditions,88101,184,Continuous,Thermo Scientific Model 5030 SHARP w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0609-184,Thermo Scientific Model 5030 SHARP VSCC FEM,2.0,-10.0,5000.0,1,T
PM2.5 - Local Conditions,88101,195,Continuous,GRIMM EDM Model 180 with naphion dryer,Laser Light Scattering,Micrograms/cubic meter (LC),FEM,EQPM-0311-195,GRIMM EDM Model 180 for FEM,0.1,0.0,1500.0,1,T
PM2.5 - Local Conditions,88101,203,Continuous,Opsis SM200-Dust Monitor w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0812-203,Opsis SM200-Dust Monitor VSCC FEM,2.0,-10.0,1000.0,1,T
PM2.5 - Local Conditions,88101,204,Continuous,Teledyne Model 602 Beta plus w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0912-204,Teledyne Model 602 Beta plus VSCC FEM,2.0,-10.0,1500.0,1,T
PM2.5 - Local Conditions,88101,209,Continuous,Met One BAM-1022 Mass Monitor w/ VSCC or TE-PM2.5C,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-1013-209,Met One BAM-1022 PM2.5 w/ VSCC or TE-PM2.5C FEM,5.0,-10.0,975.0,1,T
PM2.5 - Local Conditions,88101,219,Intermittent,Tisch Model TE-Wilbur2.5 Low-Volume Sampler,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1014-219,Tisch Model TE-Wilbur2.5,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,221,Intermittent,Met One E-FRM PM2.5 with WINS,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0315-221,Met One E-FRM PM2.5 with WINS,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,235,Intermittent,Met One E-FRM PM2.5 with URG-2000-30EGN cyclone,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0316-235,Met One E-FRM PM2.5 with URG-2000-30EGN cyclone,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,236,Continuous,Teledyne T640 at 5.0 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM,0.1,0.0,10000.0,1,T
PM2.5 - Local Conditions,88101,238,Continuous,Teledyne T640X at 16.67 LPM,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM,0.1,0.0,10000.0,1,T
PM2.5 - Local Conditions,88101,245,Intermittent,Met One E-SEQ-FRM PM2.5 with WINS,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0717-245,Met One E-SEQ-FRM PM2.5 with WINS,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,521,Intermittent,Met One E-FRM PM2.5 with VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0315-221,Met One E-FRM PM2.5 with VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,545,Intermittent,Met One E-SEQ-FRM PM2.5 with VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-0717-245,Met One E-SEQ-FRM PM2.5 with VSCC,2.0,0.0,5000.0,1,T
PM2.5 - Local Conditions,88101,581,Continuous,Thermo Scientific 1405-F FDMS w/VSCC,FDMS Gravimetric,Micrograms/cubic meter (LC),FEM,EQPM-0609-181,Thermo Scientific 1405-F FDMS w/VSCC FEM,2.0,-10.0,5000.0,1,T
PM2.5 - Local Conditions,88101,636,Continuous,Teledyne T640 at 5.0 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM w/Network Data Alignment enabled,0.1,0.0,10000.0,1,T
PM2.5 - Local Conditions,88101,638,Continuous,Teledyne T640X at 16.67 LPM w/Network Data Alignment enabled,Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM w/Network Data Alignment enabled,0.1,0.0,10000.0,1,T
PM2.5 - Local Conditions,88101,736,Continuous,Teledyne T640 at 5.0 LPM (Corrected),Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-236,T-API T640 at 5.0 LPM (Corrected),0.1,0.0,10000.0,1,T
PM2.5 - Local Conditions,88101,738,Continuous,Teledyne T640X at 16.67 LPM (Corrected),Broadband spectroscopy,Micrograms/cubic meter (LC),FEM,EQPM-0516-238,T-API T640X at 16.67 LPM (Corrected),0.1,0.0,10000.0,1,T
PM2.5 Raw Data,88501,116,Intermittent,BGI Model PQ200 PM2.5 Sampler w/WINS,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0498-116,BGI INC Model PQ200 PM2.5,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,117,Intermittent,R & P Model 2000 PM2.5 Sampler w/WINS,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0498-117,R & P CO Model 2000 PM-2.5,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,119,Intermittent,Andersen RAAS2.5-100 PM2.5 SAM w/WINS,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0598-119,Andersen RAAS2.5-100 PM2.5 SAM,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,120,Intermittent,Andersen RAAS2.5-300 PM2.5 SEQ w/WINS,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFPS-0598-120,Andersen RAAS2.5-300 PM2.5 SEQ,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,142,Intermittent,BGI Models PQ200-VSCC or PQ200A-VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-142,BGI Models PQ200-VSCC or PQ200A-VSCC,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,145,Intermittent,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,Gravimetric,Micrograms/cubic meter (LC),FRM,RFPS-1006-145,R & P Model 2025 Sequential Air Sampler with BGI VSCC,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,177,Intermittent,Thermo Scientific Partisol 2000-D Dichot.,Gravimetric,Micrograms/cubic meter (LC),FEM,EQPS-0509-177,Thermo Scientific Partisol 2000-D Dichot.,2.0,,5000.0,1,T
PM2.5 Raw Data,88501,203,Continuous,Opsis SM200-Dust Monitor w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0812-203,Opsis SM200-Dust Monitor VSCC FEM,2.0,-10.0,1000.0,1,T
PM2.5 Raw Data,88501,204,Continuous,Teledyne Model 602 Beta plus w/VSCC,Beta Attenuation,Micrograms/cubic meter (LC),FEM,EQPM-0912-204,Teledyne Model 602 Beta plus VSCC FEM,2.0,-10.0,1500.0,1,T
Reactive oxides of nitrogen (NOy),42600,074,Continuous,INSTRUMENTAL,CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-1289-074,THERMO ENVIRON. INST. MODEL 42,0.5,-5.0,500.0,1,T
Reactive oxides of nitrogen (NOy),42600,099,Continuous,INSTRUMENTAL,GAS PHASE CHEMILUMINESCENCE,Parts per billion,FRM,RFNA-1104-099,API MODEL 200A NO ANALYZER,0.5,-5.0,500.0,1,T
SO2 max 5-min avg,42406,005,Continuous,INSTRUMENTAL,SEC DERIV SPECTROSCOPY,Parts per billion,FEM,EQSA-1275-005,LEAR SIEGLER SM1000,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,006,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1275-006,MELOY SA185-2A,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,009,Continuous,INSTRUMENTAL,PULSED FLUORESCENT,Parts per billion,FEM,EQSA-0276-009,Thermo Electron 43,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,010,Continuous,INSTRUMENTAL,COULOMETRIC,Parts per billion,FEM,EQSA 0676-010,PHILIPS PW9755,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,024,Continuous,INSTRUMENTAL,CONDUCTANCE,Parts per billion,FEM,EQSA-0877-024,ASARCO 500,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,029,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0678-029,BECKMAN 953,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,030,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1078-030,BENDIX 8303,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,032,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1078-032,MELOY SA285E,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,039,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0779-039,MONITOR LABS 8850,2.0,-4.0,10000.0,1,T
SO2 max 5-min avg,42406,046,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0580-046,MELOY SA700,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,049,Continuous,INSTRUMENTAL,SEC DERIV SPECTROSCOPY,Parts per billion,FEM,EQSA-1280-049,LEAR SIEGLER AM2020,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,060,Continuous,INSTRUMENTAL,PULSED FLUORESCENT,Parts per billion,FEM,EQSA-0486-060,"THERMO ELECTRON 43A, 43B,43C",2.0,-4.0,10000.0,1,T
SO2 max 5-min avg,42406,061,Continuous,INSTRUMENTAL,ULTRA VIOLET FLUORESCENCE,Parts per billion,FEM,EQSA-1086-061,DASIBI 4108,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,075,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0390-075,MONITOR LABS 8850S,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,077,Continuous,INSTRUMENTAL,FLUORESCENCE DETECTION,Parts per billion,FEM,EQSA-0990-007,ADV POLL INST INC MODEL 100,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,084,Continuous,INSTRUMENTAL,UV FLUORESCENCE,Parts per billion,FEM,EQSA-0292-084,ENVIRON. SA MDL AF21M,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,092,Continuous,AUTOMATED ANALYZER,ULTRAVIOLET FLUORESCENCE,Parts per billion,FEM,EQAS-0193-092,MONITOR LABS 9850 & 9850B,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,100,Continuous,INSTRUMENTAL,ULTRAVIOLET FLUORESCENCE,Parts per billion,FEM,EQSA-0495-100,API Model 100A SO2 Analyzer,0.4,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,101,Continuous,INSTRUMENTAL,OPEN PATH SO2 ANALYZER,Parts per billion,FEM,EQSA-0495-101,OPSIS MODEL AR 500 SYSTEM,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,114,Continuous,Instrumental,Pulsed UV Fluorescence,Parts per billion,FEM,EQSA-0197-114,HORIBA APSA-360 OR APSA-360ACE,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,115,Continuous,Instrumental,Ultraviolet Fluorescent Analyzer,Parts per billion,FEM,EQSA-0701-115,DKK CORP MODEL GFS-32 AMB SO2,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,133,Continuous,Instrumental,Ultra Violet Fluorescence,Parts per billion,FEM,EQSA-0100-133,DKK MDl GFS-112E,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,138,Continuous,Instrumental,Open Path SO2 Analyzer,Parts per billion,FEM,EQOA-0400-138,SANOA Longpath,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,149,Continuous,Instrumental,UV Fluorescence,Parts per billion,FEM,EQOA-0802-149,Environnement S.A. AF22M SO2 Analyzer,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,159,Continuous,Instrumental,Pulsed UV Fluorescence,Parts per billion,FEM,EQSA-0506-159,HORIBA APSA-370,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,166,Continuous,Instrumental,U V Fluorescence,Parts per billion,FEM,EQSA-0507-166,SIR S A Model S-5001,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,168,Continuous,Instrumental,DKK-TOA Corp ModelGFS-312E,Parts per billion,FEM,EQSA-1107-168,DKK-TOA Model GFS-312E,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,188,Continuous,Instrumental,Ecotech Serinus 50,Parts per billion,FEM,EQSA-0809-188,Ecotech Serinus 50 SO2 Analyzer,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,237,Continuous,Instrumental,Sutron or Sabio Model 6020 UV Fluorescence,Parts per billion,FRM,RFSA-0616-237,Sutron or Sabio Model 6020 UV Fluorescence,0.3,-4.0,500.0,1,T
SO2 max 5-min avg,42406,511,Continuous,INSTRUMENTAL,COULOMETRIC,Parts per billion,FEM,EQSA-0876-011,PHILIPS PW9700,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,513,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-0876-013,MONITOR LABS 8450,2.0,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,560,Continuous,INSTRUMENTAL,PULSED FLUORESCENT,Parts per billion,FEM,EQSA-0486-060,THERMO ELECTRON 43C-TLE,0.2,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,592,Continuous,Instrumental,Ultraviolet Fluorescence EC9850T,Parts per billion,FEM,EQSA-0193-092,Ecotech EC9850T,0.2,-4.0,1500.0,1,T
SO2 max 5-min avg,42406,600,Continuous,Instrumental,Ultraviolet Fluorescence API 100 EU,Parts per billion,FEM,EQSA-0495-100,Teledyne API 100 EU,0.2,-4.0,1500.0,1,T
Sulfur dioxide,42401,005,Continuous,INSTRUMENTAL,SEC DERIV SPECTROSCOPY,Parts per billion,FEM,EQSA-1275-005,LEAR SIEGLER SM1000,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,006,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1275-006,MELOY SA185-2A,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,009,Continuous,INSTRUMENTAL,PULSED FLUORESCENT,Parts per billion,FEM,EQSA-0276-009,THERMO ELECTRON 43,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,010,Continuous,INSTRUMENTAL,COULOMETRIC,Parts per billion,FEM,EQSA 0676-010,PHILIPS PW9755,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,024,Continuous,INSTRUMENTAL,CONDUCTANCE,Parts per billion,FEM,EQSA-0877-024,ASARCO 500,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,029,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0678-029,BECKMAN 953,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,030,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1078-030,BENDIX 8303,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,032,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-1078-032,MELOY SA285E,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,039,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0779-039,MONITOR LABS 8850,2.0,-4.0,10000.0,1,T
Sulfur dioxide,42401,046,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0580-046,MELOY SA700,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,049,Continuous,INSTRUMENTAL,SEC DERIV SPECTROSCOPY,Parts per billion,FEM,EQSA-1280-049,LEAR SIEGLER AM2020,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,060,Continuous,INSTRUMENTAL,PULSED FLUORESCENT,Parts per billion,FEM,EQSA-0486-060,"THERMO ELECTRON 43A, 43B, 43C",2.0,-4.0,10000.0,1,T
Sulfur dioxide,42401,061,Continuous,INSTRUMENTAL,ULTRA VIOLET FLUORESCENCE,Parts per billion,FEM,EQSA-1086-061,DASIBI 4108,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,075,Continuous,INSTRUMENTAL,ULTRA VIOLET STIMULATED FLUORESCNC,Parts per billion,FEM,EQSA-0390-075,MONITOR LABS 8850S,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,077,Continuous,INSTRUMENTAL,FLUORESCENCE DETECTION,Parts per billion,FEM,EQSA-0990-077,ADV POLL INST INC MODEL 100,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,084,Continuous,INSTRUMENTAL,UV FLUORESCENCE,Parts per billion,FEM,EQSA-0292-084,ENVIRON. SA MDL AF21M,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,092,Continuous,AUTOMATED ANALYZER,ULTRAVIOLET FLUORESCENCE,Parts per billion,FEM,EQAS-0193-092,MONITOR LABS 9850 & 9850B,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,100,Continuous,INSTRUMENTAL,ULTRAVIOLET FLUORESCENCE,Parts per billion,FEM,EQSA-0495-100,API MODEL 100 A SO2 ANALYZER,0.4,-4.0,1500.0,1,T
Sulfur dioxide,42401,101,Continuous,INSTRUMENTAL,OPEN PATH SO2 ANALYZER,Parts per billion,FEM,EQSA-0495-101,OPSIS MODEL AR 500 SYSTEM,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,114,Continuous,Instrumental,Pulsed UV Fluorescence,Parts per billion,FEM,EQSA-0197-114,HORIBA APSA-360 OR APSA-360ACE,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,115,Continuous,Instrumental,Ultraviolet Fluorescent Analyzer,Parts per billion,FEM,EQSA-0701-115,DKK CORP MODEL GFS-32 AMB SO2,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,133,Continuous,Instrumental,Ultra Violet Fluorescence,Parts per billion,FEM,EQSA-0100-133,DKK MDl GFS-112E,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,138,Continuous,Instrumental,Open Path SO2 Analyzer,Parts per billion,FEM,EQOA-0400-138,SANOA Longpath,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,149,Continuous,Instrumental,UV Fluorescence,Parts per billion,FEM,EQOA-0802-149,Environnement S.A. AF22M SO2 Analyzer,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,159,Continuous,Instrumental,Pulsed UV Fluorescence,Parts per billion,FEM,EQSA-0506-159,HORIBA APSA-370,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,166,Continuous,Instrumental,U V Fluorescence,Parts per billion,FEM,EQSA-0507-166,SIR S A Model S-5001,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,168,Continuous,Instrumental,DKK-TOA Corp ModelGFS-312E,Parts per billion,FEM,EQSA-1107-168,DKK-TOA Model GFS-312E,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,188,Continuous,Instrumental,Ecotech Serinus 50,Parts per billion,FEM,EQSA-0809-188,Ecotech Serinus 50 SO2 Analyzer,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,194,Continuous,Instrumental,SERES Model SF 2000 G - UV Fluorescence,Parts per billion,FEM,EQSA-0810-194,SERES Model SF 2000 G Sulfur Dioxide Analyzer,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,237,Continuous,Instrumental,Sutron or Sabio Model 6020 UV Fluorescence,Parts per billion,FRM,RFSA-0616-237,Sutron or Sabio Model 6020 UV Fluorescence,0.3,-4.0,500.0,1,T
Sulfur dioxide,42401,511,Continuous,INSTRUMENTAL,COULOMETRIC,Parts per billion,FEM,EQSA-0876-011,PHILIPS PW9700,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,513,Continuous,INSTRUMENTAL,FLAME PHOTOMETRIC,Parts per billion,FEM,EQSA-0876-013,MONITOR LABS 8450,2.0,-4.0,1500.0,1,T
Sulfur dioxide,42401,560,Continuous,INSTRUMENTAL,Pulsed Fluorescent 43C-TLE/43i-TLE,Parts per billion,FEM,EQSA-0486-060,Thermo Electron 43c-TLE/43i-TLE,0.2,-4.0,1500.0,1,T
Sulfur dioxide,42401,592,Continuous,Instrumental,Ultraviolet Fluorescence EC9850T,Parts per billion,FEM,EQSA-0193-092,Ecotech EC9850T,0.2,-4.0,1500.0,1,T
Sulfur dioxide,42401,600,Continuous,Instrumental,Ultraviolet Fluorescence API 100 EU,Parts per billion,FEM,EQSA-0495-100,Teledyne API 100 EU,0.2,-4.0,1500.0,1,T
Suspended particulate (TSP),11101,091,Intermittent,HI-VOL,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFP-1171-001,REFERENCE METHOD,1.0,0.0,10000.0,0,R
Suspended particulate (TSP),11101,802,Intermittent,HI-VOL,GRAVIMETRIC,Micrograms/cubic meter (25 C),FRM,RFP-1171-001,REFERENCE METHOD,1.0,0.0,10000.0,0,R
Suspended particulate (TSP) LC,11102,091,Intermittent,HI-VOL,GRAVIMETRIC,Micrograms/cubic meter (LC),FRM,RFP-1171-001,REFERENCE METHOD,1.0,0.0,10000.0,0,R
